


################
<<<<<<<< ##.....
######## ##.####
  ###### ##.####
  #O...........#
  #.#######.##.#
  #.#######.##.#
  #.##......##.#
  #.##.#### ##..
  #.##.#### ####
  #......## ####
  ######.##     
  ######.## ####
  #......## #   
  #.####.## #   
  #.####.   #   
  #...##.## ####
  ###.##.##     
    #.##.#### ##
	#.##.#### ##
	#.........##
    #.#######.##
#####.#######.##
<<<<<....##...  
#####.##.##.####
  ###.##.##.####
  #O..##.......#
  #.####.#####.#
  #.####.#####.#
  #.............
  ##############

